0.000,1.000
0.000,1.000
0.000,1.000
0.003,1.000
0.000,1.000
0.000,1.000
0.001,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.015,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.001,1.000
0.000,1.000
0.000,1.000
0.005,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.001,1.000
0.001,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.001,1.000
0.000,1.000
0.000,1.000
0.002,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.000,1.000
0.006,1.000
0.015,1.000
0.005,1.000
0.001,1.000
0.011,1.000
0.001,1.000
0.654,1.000
0.218,1.000
0.328,1.000
0.017,1.000
0.773,1.000
0.498,1.000
0.000,1.000
0.263,1.000
0.712,1.000
0.285,1.000
0.026,1.000
0.364,1.000
0.564,1.000
0.873,1.000
0.099,1.000
0.264,1.000
0.669,1.000
0.765,1.000
0.164,1.000
0.253,1.000
0.107,1.000
0.224,1.000
0.532,1.000
0.859,1.000
0.837,1.000
0.022,1.000
0.806,1.000
0.439,1.000
0.881,1.000
0.012,1.000
0.423,1.000
0.009,1.000
0.414,1.000
0.705,1.000
0.368,1.000
0.289,1.000
0.138,1.000
0.909,1.000
0.508,1.000
0.772,1.000
0.286,1.000
0.081,1.000
0.804,1.000
0.805,1.000
0.858,1.000
0.175,1.000
0.578,1.000
0.654,1.000
0.663,1.000
0.827,1.000
0.503,1.000
0.947,1.000
0.461,1.000
0.302,1.000
0.075,1.000
0.358,1.000
0.361,1.000
0.331,1.000
0.045,1.000
0.024,1.000
0.004,1.000
0.042,1.000
0.214,1.000
0.009,1.000
0.012,1.000
0.006,1.000
0.006,1.000
0.002,1.000
0.008,1.000
0.027,1.000
0.008,1.000
0.017,1.000
0.033,1.000
0.306,1.000
0.006,1.000
0.017,1.000
0.023,1.000
0.001,1.000
0.135,1.000
0.006,1.000
0.001,1.000
0.588,1.000
0.004,1.000
0.036,1.000
0.643,1.000
0.001,1.000
0.077,1.000
0.001,1.000
0.005,1.000
0.099,1.000
0.006,1.000
0.044,1.000
0.291,1.000
0.026,1.000
0.024,1.000
0.325,1.000
0.149,1.000
0.021,1.000
0.316,1.000
0.139,1.000
0.474,1.000
0.108,1.000
0.265,1.000
0.158,1.000
0.014,1.000
0.282,1.000
0.024,1.000
0.128,1.000
0.056,1.000
0.001,1.000
0.017,1.000
